;name;cell_type;well_number;location_number;tag;data_type;file_format;path;filename;subfolder;sample_site;z_position;channel;is_mask;mask_path
0;Alexa488;Fibroblasts;5;225locations;s101z11c2;ORG;tif;./data/brightfield/Alexa488_Fibroblasts_well5_225locations/Alexa488_Fibroblasts_well5_225locations_s101z11c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations_s101z11c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations;101;11;2;False;./data/masks/Alexa488_Fibroblasts_well5_225locations_s101z06c1_ORG_mask.tiff
1;Alexa488;Fibroblasts;5;225locations;s131z09c2;ORG;tif;./data/brightfield/Alexa488_Fibroblasts_well5_225locations/Alexa488_Fibroblasts_well5_225locations_s131z09c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations_s131z09c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations;131;9;2;False;./data/masks/Alexa488_Fibroblasts_well5_225locations_s131z06c1_ORG_mask.tiff
2;Alexa488;Fibroblasts;5;225locations;s103z04c2;ORG;tif;./data/brightfield/Alexa488_Fibroblasts_well5_225locations/Alexa488_Fibroblasts_well5_225locations_s103z04c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations_s103z04c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations;103;4;2;False;./data/masks/Alexa488_Fibroblasts_well5_225locations_s103z06c1_ORG_mask.tiff
3;Alexa488;Fibroblasts;5;225locations;s061z03c2;ORG;tif;./data/brightfield/Alexa488_Fibroblasts_well5_225locations/Alexa488_Fibroblasts_well5_225locations_s061z03c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations_s061z03c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations;61;3;2;False;./data/masks/Alexa488_Fibroblasts_well5_225locations_s061z06c1_ORG_mask.tiff
4;Alexa488;Fibroblasts;5;225locations;s015z05c2;ORG;tif;./data/brightfield/Alexa488_Fibroblasts_well5_225locations/Alexa488_Fibroblasts_well5_225locations_s015z05c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations_s015z05c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations;15;5;2;False;./data/masks/Alexa488_Fibroblasts_well5_225locations_s015z06c1_ORG_mask.tiff
5;Alexa488;Fibroblasts;5;225locations;s059z04c2;ORG;tif;./data/brightfield/Alexa488_Fibroblasts_well5_225locations/Alexa488_Fibroblasts_well5_225locations_s059z04c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations_s059z04c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations;59;4;2;False;./data/masks/Alexa488_Fibroblasts_well5_225locations_s059z06c1_ORG_mask.tiff
6;Alexa488;Fibroblasts;5;225locations;s182z10c2;ORG;tif;./data/brightfield/Alexa488_Fibroblasts_well5_225locations/Alexa488_Fibroblasts_well5_225locations_s182z10c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations_s182z10c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations;182;10;2;False;./data/masks/Alexa488_Fibroblasts_well5_225locations_s182z06c1_ORG_mask.tiff
7;Alexa488;Fibroblasts;5;225locations;s196z11c2;ORG;tif;./data/brightfield/Alexa488_Fibroblasts_well5_225locations/Alexa488_Fibroblasts_well5_225locations_s196z11c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations_s196z11c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations;196;11;2;False;./data/masks/Alexa488_Fibroblasts_well5_225locations_s196z06c1_ORG_mask.tiff
8;Alexa488;Fibroblasts;5;225locations;s174z05c2;ORG;tif;./data/brightfield/Alexa488_Fibroblasts_well5_225locations/Alexa488_Fibroblasts_well5_225locations_s174z05c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations_s174z05c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations;174;5;2;False;./data/masks/Alexa488_Fibroblasts_well5_225locations_s174z06c1_ORG_mask.tiff
9;Alexa488;Fibroblasts;5;225locations;s181z09c2;ORG;tif;./data/brightfield/Alexa488_Fibroblasts_well5_225locations/Alexa488_Fibroblasts_well5_225locations_s181z09c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations_s181z09c2_ORG.tif;Alexa488_Fibroblasts_well5_225locations;181;9;2;False;./data/masks/Alexa488_Fibroblasts_well5_225locations_s181z06c1_ORG_mask.tiff
